id;categorie_id;titre
1;1;J'ai écouté 5 chansons d'artistes canadiens en français.
2;1;J'ai écouté des balados en français.
3;1;J’ai écouté une chaine de radio en français pendant une heure.
4;1;J’ai lu un texte à voix haute en français.
5;1;J’ai lu une infolettre en français.
6;1;J’ai lu un article de presse en français.
7;1;J’ai lu un livre ou un magazine en français.
8;1;J’ai suivi une recette en français.
9;1;J’ai regardé mon sport préféré à la télévision en français.
10;1;J’ai utilisé un dictionnaire ou une autre ressource afin de rechercher 10 nouveaux mots en français.
11;1;J’ai regardé une vidéo en ligne en français avec sous-titres en anglais.
12;1;J’ai regardé une vidéo en ligne en français avec sous-titres en français.
13;1;J’ai regardé une vidéo en ligne en français sans sous-titres.
14;1;J’ai regardé un film ou une émission en français avec des sous-titres en anglais.
15;1;J’ai regardé un film ou une émission en français avec des sous-titres en français.
16;1;J’ai regardé un film ou une émission en français sans sous-titres.
17;1;J’ai téléchargé une application pour mon téléphone ou ma tablette en français.
18;1;J’ai utilisé une application numérique en français.
19;1;J’ai changé la langue de ma console de jeu vidéo en français pendant une journée.
20;1;J’ai changé la langue de ma console de jeu vidéo en français pendant une semaine.
21;1;J’ai changé la langue de ma console de jeu vidéo en français de façon permanente.
22;1;J’ai changé la langue de mon cellulaire ou de ma tablette en français pendant une journée.
23;1;J’ai changé la langue de mon cellulaire ou de ma tablette en français pendant une semaine.
24;1;J’ai changé la langue de mon cellulaire ou de ma tablette en français de façon permanente.
25;1;J’ai changé la langue de mon profil sur les réseaux sociaux en français pendant une journée.
26;1;J’ai changé la langue de mon profil sur les réseaux sociaux pendant une semaine.
27;1;J’ai changé la langue de mon profil sur les réseaux sociaux de façon permanente.
28;1;J’ai changé la langue d'affichage de mon ordinateur en français pendant une journée.
29;1;J’ai changé la langue d'affichage de mon ordinateur en français pendant une semaine.
30;1;J’ai changé la langue d'affichage de mon ordinateur en français de façon permanente.
31;1;J’ai visité le site web accentquebec.com pour trouver un événement ou une activité en français.
32;1;Je suis allé‧e voir un film au cinéma en français.
33;1;Je suis allé‧e voir un spectacle en français.
34;1;J’ai répondu à un sondage ou à un questionnaire en français.
35;1;J’ai complété un formulaire en français.
36;1;J'ai lu la partie en français d'un texte bilingue.
37;1;J’ai remercié quelqu’un en français.
38;1;Je me suis excusé‧e en français.
39;1;J’ai envoyé un texto en français.
40;1;J’ai écrit une invitation à quelqu’un en français.
41;1;J'ai accepté ou refusé une invitation en français.
42;1;J’ai chanté une chanson en français.
43;1;J’ai laissé un message vocal en français.
44;1;J’ai écrit une carte de souhait en français.
45;1;J’ai raconté une blague à quelqu'un en français.
46;1;J’ai raconté une anecdote à quelqu'un en français.
47;1;J’ai envoyé un courriel en français à un‧e ami‧e
48;1;J’ai envoyé un courriel en français à un‧e enseignant‧e de l’école.
49;1;J’ai publié quelque chose en français sur les réseaux sociaux.
50;1;J’ai écrit un commentaire sur un blogue en français.
51;1;J'ai créé un balado en français.
52;1;J’ai fait et publié une vidéo en ligne en français.
53;1;J’ai participé à un concours en français (Concours d’art oratoire, Immersion clip, etc.)
54;1;J’ai écrit un CV ou une lettre de motivation en français.
55;1;J’ai posé ma candidature pour un emploi pour lequel j’aurai besoin de parler français.
56;2;J’ai parlé à un proche en français.
57;2;J’ai parlé en français à la maison.
58;2;J’ai parlé en français à quelqu’un avec qui je parle normalement en anglais.
59;2;J’ai demandé l’heure en français à quelqu’un.
60;2;J’ai demandé mon chemin en français à quelqu’un.
61;2;J’ai parlé en français avec l’infirmier‧ère de l’école.
62;2;J’ai parlé en français à la direction de mon école.
63;2;J’ai parlé en français à un‧e enseignant‧e en dehors des heures de cours.
64;2;J’ai communiqué avec un‧e employé‧e de l’école en français.
65;2;J’ai remercié quelqu’un en français.
66;2;Je me suis excusé‧e en français.
67;2;J'ai accepté ou refusé une invitation en français.
68;2;J’ai encouragé quelqu’un à parler en français.
69;2;J’ai collaboré avec quelqu'un de classe en français.
70;2;J’ai aidé quelqu’un qui ne parle pas français en traduisant pour cette personne.
71;2;J’ai répondu au téléphone en français.
72;2;J’ai fait un appel téléphonique en français.
73;2;J’ai appelé un numéro sans frais (1-800) et j’ai choisi d’être servi‧e en français.
74;2;J’ai appelé quelqu’un en français par visioconférence.
75;2;J’ai commandé à manger à la cafétéria en français.
76;2;J’ai commandé à manger au restaurant en français.
77;2;J’ai commandé au service à l’auto en français.
78;2;J’ai demandé à être servi‧e en français dans un commerce.
79;2;J’ai utilisé le français dans un magasin.
80;2;J’ai parlé à un‧e ami‧e du Passeport de prise de risques linguistiques en français.
81;2;Je me suis rendu‧e à une soirée et j'y ai parlé français.
82;2;J’ai communiqué en français sur une plateforme de jeu en ligne.
83;2;J’ai participé à une activité parascolaire en français.
84;2;J'ai participé à une session de tutorat en français à l'école ou avec LEARN.
85;2;J’ai participé à une conversation de groupe en français.
86;2;J'ai rencontré quelqu'un de nouveau et je lui ai parlé en français.
87;2;J'ai expliqué un jeu à quelqu'un en français.
88;2;J'ai joué à un jeu de société en français.
89;2;J’ai utilisé le français dans un lieu d’activité récréative (soccer, cours de piano, jeu laser, quilles, etc.).
90;2;J’ai utilisé le français à un comptoir de prêt d’une bibliothèque.
91;2;J’ai utilisé le français dans un transport en commun (autobus, métro, etc.).
92;2;J’ai invité quelqu’un à faire une activité avec moi en français.
93;2;J’ai utilisé le français lors d'un voyage.
94;2;J’ai fait du bénévolat en français.
95;2;J’ai fait une entrevue d’emploi en français.
96;2;J’ai parlé en français quand j’ai vécu une émotion forte (tristesse, joie, etc.).
97;2;J’ai résolu un conflit en français.
